,district,month,visitors,Date
327,Wanaparthy,April,1300,01-01-2024
328,Wanaparthy,May,1000,01-01-2024
329,Wanaparthy,June,750,01-01-2024
330,Wanaparthy,July,200,01-01-2024
331,Wanaparthy,August,2300,01-01-2024
332,Wanaparthy,September,1450,01-01-2024
333,Wanaparthy,October,1490,01-01-2024
334,Wanaparthy,November,1900,01-01-2024
335,Wanaparthy,December,1700,01-01-2024
336,Warangal,January,16069,01-01-2024
337,Warangal,February,15960,01-01-2024
338,Warangal,March,18468,01-01-2024
339,Warangal,April,17408,01-01-2024
340,Warangal,May,16323,01-01-2024
341,Warangal,June,17941,01-01-2024
342,Warangal,July,18050,01-01-2024
343,Warangal,August,18980,01-01-2024
344,Warangal,September,16447,01-01-2024
345,Warangal,October,17877,01-01-2024
346,Warangal,November,19014,01-01-2024
347,Warangal,December,17815,01-01-2024
348,Yadadri Bhongir,January,961000,01-01-2024
349,Yadadri Bhongir,February,552596,01-01-2024
350,Yadadri Bhongir,March,740494,01-01-2024
351,Yadadri Bhongir,April,876574,01-01-2024
352,Yadadri Bhongir,May,1817107,01-01-2024
353,Yadadri Bhongir,June,1564839,01-01-2024
354,Yadadri Bhongir,July,651704,01-01-2024
355,Yadadri Bhongir,August,726151,01-01-2024
356,Yadadri Bhongir,September,383527,01-01-2024
357,Yadadri Bhongir,October,518988,01-01-2024
358,Yadadri Bhongir,November,972728,01-01-2024
359,Yadadri Bhongir,December,861921,01-01-2024
