Package,Coach Type,Package days,Boarding Points,SUNDAY_ADULT,SUNDAY_CHILD,MONDAY_ADULT,MONDAY_CHILD,TUESDAY_ADULT,TUESDAY_CHILD,WEDNESDAY _ADULT,WEDNESDAY _CHILD,THURSDAY_ADULT,THURSDAY_CHILD,FRIDAY_ADULT,FRIDAY_CHILD,SATURDAY _ADULT,SATURDAY _CHILD,Single Ticket Extra Tariff
HYDERABAD-SHIRIDI-ELLORA,PACKAGE,"WED,FRI","(CRO TANKBUND, Ph: 9848540371 : 16:00:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 17:45:00),(CHANDANAGAR GANDHI STATUE, Ph: 9848540374 : 18:00:00),(	CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 15:00:00),(YATRINIVAS, Ph: 9848126947 : 16:45:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 17:00:00)",0,0,0,0,0,0,3050,2500,0,0,3050,2500,0,0,500
HYDERABAD-KARIMNAGAR-WARANGAL TEMPLE TOUR,PACKAGE,SAT,"(CRO TANKBUND, Ph: 9848540371 : 07:00:00),(YATRINIVAS, Ph: 9848126947 : 07:45:00),(KARIMNAGAR : 19:30:00)",0,0,0,0,0,0,0,0,0,0,0,0,2700,2170,0
HYDERABAD-ANANTHAGIRI-VIKARABAD,PACKAGE,"SAT,SUN","(YATRINIVAS, Ph: 9848126947 : 08:30:00),(CRO BASHEERBAGH Ph: 9848540371 : 09:00:00),(ANANTHAGIRI : 10:30:00)",1250,1000,0,0,0,0,0,0,0,0,0,0,1250,1000,0
HYDERABAD-BEECHPALLI-ALAMPUR,PACKAGE,"SAT,SUN","(YATRINIVAS, Ph: 9848126947 : 08:00:00),(CRO BASHEERBAGH Ph: 9848540371 : 08:30:00),(ALAMPUR : 13:00:00)",900,720,0,0,0,0,0,0,0,0,0,0,900,720,0
HYDERABAD-YADAGARIGUTTA-WARANGAL-RAMAPPA-LAKNAVARAM-HYDERABAD,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 08:00:00),(CRO BASHEERBAGH Ph: 9848540371 : 07:30:00),(KUNTALA : 13:00:00)",2349,1890,2349,1890,2349,1890,2349,1890,2349,1890,2349,1890,2349,1890,0
HYDERABAD-YADAGARIGUTTA-WARANGAL-RAMAPPA-LAKNAVARAM-HYDERABAD,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 08:00:00),(CRO BASHEERBAGH Ph: 9848540371 : 07:30:00),(KUNTALA : 13:00:00)",2549,2050,2549,2050,2549,2050,2549,2050,2549,2050,2549,2050,2549,2050,0
HYDERABAD-KUNTALA-POCHERA WATERFALLS,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH Ph: 9848540371 : 07:00:00),(YATRINIVAS, Ph: 9848126947 : 07:30:00)",1450,1170,1450,1170,1450,1170,1450,1170,1450,1170,1450,1170,1450,1170,0
HYDERABAD-KUNTALA-POCHERA WATERFALLS,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH Ph: 9848540371 : 07:00:00),(YATRINIVAS, Ph: 9848126947 : 07:30:00)",1550,1250,1550,1250,1550,1250,1550,1250,1550,1250,1550,1250,1550,1250,0
HYDERABAD-WARANGAL-RAMMAPPA-LAKNAVARAM-BOGATHA WATERFALLS-HYDERABAD,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 07:30:00),(CRO BASHEERBAGH Ph: 9848540371 : 08:00:00),(BOGATHA WATER FALLS : 19:30:00)",3049,2450,3049,2450,3049,2450,3049,2450,3049,2450,3049,2450,3049,2450,0
HYDERABAD-WARANGAL-RAMMAPPA-LAKNAVARAM-BOGATHA WATERFALLS-HYDERABAD,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 07:30:00),(CRO BASHEERBAGH Ph: 9848540371 : 08:00:00),(BOGATHA WATER FALLS : 19:30:00)",3549,2850,3549,2850,3549,2850,3549,2850,3549,2850,3549,2850,3549,2850,0
