Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,KHAJAPOOR,2,COMMERCIAL,14,13,374,8.79
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,KOPARTHY CAMP,2,COMMERCIAL,9,8,1189,15.28
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,KUMANPALLY,2,COMMERCIAL,20,18,1077,28.14
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,MANDARNA,2,COMMERCIAL,31,26,1372,29.946
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,NAGANPALLY,2,COMMERCIAL,27,22,2258,19.62
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,OLD BODHAN,2,COMMERCIAL,503,453,71091,943.665
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,RENJAL BASE,2,COMMERCIAL,6,6,777,13.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,S R CAMP,2,COMMERCIAL,4,4,210,2.52
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,SALAMPAD CAMP,2,COMMERCIAL,2,2,150,1.999
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,SALAMPAHAD,2,COMMERCIAL,58,39,9247,88.23
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,SALOORA CAMP,2,COMMERCIAL,34,29,2647,38.144
NIZAMABAD,DICHPALLY,DICHPALLY,GADKOLE,VADI,2,COMMERCIAL,10,9,356,18.828
NIZAMABAD,DICHPALLY,DICHPALLY,GADKOLE,VARJAN (T),2,COMMERCIAL,2,2,276,4.0
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,CHANDRAYANPALLY,2,COMMERCIAL,28,24,5936,56.416
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,DEVI THANDA,2,COMMERCIAL,14,9,264,15.728
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,GANGARAM T,2,COMMERCIAL,95,94,8515,138.544
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,GANNARAM,2,COMMERCIAL,154,132,23344,327.056
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,INDALWAI,2,COMMERCIAL,167,156,22259,334.974
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,INDALWAI T,2,COMMERCIAL,4,4,87,3.726
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,MALLAPUR,2,COMMERCIAL,21,20,774,33.89
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,MEGYANAYAK T,2,COMMERCIAL,4,2,80,4.484
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,RANJITHNAYAK T,2,COMMERCIAL,1,1,0,1.0
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,BADGONI,2,COMMERCIAL,44,41,4994,85.88
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,BAJAR KOTHUR,2,COMMERCIAL,27,25,1427,35.06
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,CH.KONDUR,2,COMMERCIAL,57,46,8771,67.432
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,CHIMRAJPALLY,2,COMMERCIAL,87,79,6501,115.82
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,DEVEPATNAM,2,COMMERCIAL,2,2,541,3.0
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,JOGIPET,2,COMMERCIAL,12,11,1471,17.03
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,KAMTA,2,COMMERCIAL,31,27,2894,38.15
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,KHUDAVANPOOR,2,COMMERCIAL,91,79,10476,133.518
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,KOULPOOR,2,COMMERCIAL,31,26,1932,40.77
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,LEKKAMPALLI,2,COMMERCIAL,34,28,1107,84.8
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,MALLARM,2,COMMERCIAL,10,10,923,14.995
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,MAYAPOOR,2,COMMERCIAL,17,14,584,18.666
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,MULKALAPALLY - (REC),2,COMMERCIAL,6,5,1461,15.0
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,NAGARAM,2,COMMERCIAL,28,28,2534,38.24
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,PENCHKALPET,2,COMMERCIAL,57,54,7619,106.65
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,PERAPALLY,2,COMMERCIAL,19,16,762,22.71
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,RAJAPUR,2,COMMERCIAL,8,5,449,7.68
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,ROMPIKUNTA,2,COMMERCIAL,58,52,8188,90.79
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,SIDDIPALLI,2,COMMERCIAL,6,4,266,7.0
NIZAMABAD,DICHPALLY,DICHPALLY,GADKOLE,TALLARAMADUGU,2,COMMERCIAL,22,21,1230,21.685
NIZAMABAD,DICHPALLY,DICHPALLY,GADKOLE,THUMPALLY,2,COMMERCIAL,46,44,5160,76.89
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,MAMIDIPALLY,2,COMMERCIAL,82,68,15815,265.556
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,MANIKBHANDAR,2,COMMERCIAL,224,200,73334,777.569
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,MUTHYAMPALLY,2,COMMERCIAL,11,10,572,10.0
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,ODYATPALLY,2,COMMERCIAL,41,41,1849,40.811
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,RAMCHANDRAPALLY,2,COMMERCIAL,32,29,7145,49.83
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,SATLAPOOR THANDA,2,COMMERCIAL,3,3,64,6.0
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,SINGAMPALLY,2,COMMERCIAL,5,5,45,6.0
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,VENU KISHAN NAGAR TANDA,2,COMMERCIAL,16,16,2232,39.27
NIZAMABAD,NIZAMABAD,NANDIPET,MAKLOOR,WADDERA CAMP,2,COMMERCIAL,20,17,2382,63.315
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,AILAPOOR,2,COMMERCIAL,96,71,10616,129.959
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,ANDHRA NAGAR,2,COMMERCIAL,54,39,9152,113.016
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,RAJAPOOR-B,2,COMMERCIAL,21,18,1037,26.676
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,SWARANAPALLY,2,COMMERCIAL,4,3,59,7.0
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,VENKATAPOOR,2,COMMERCIAL,24,22,4266,59.0
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,GOLLAPALLY,2,COMMERCIAL,6,6,151,8.0
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,GUNDARAM,2,COMMERCIAL,54,47,4040,66.76
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,JULAPALLY (A),2,COMMERCIAL,66,53,7861,110.593
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,KAMANPUR,2,COMMERCIAL,393,344,46809,739.845
PEDDAPALLY,MANTHANI,Manthani,KAMANPUR,LINGALA - (REC),2,COMMERCIAL,9,8,684,35.42
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,GUNDLAPALLY (REC)             ,2,COMMERCIAL,10,8,821,18.78
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,HARIPURAM H/O KOLANOOR        ,2,COMMERCIAL,10,10,1938,31.66
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,KANAGARTHY (J),2,COMMERCIAL,72,65,8917,118.723
