,district,month,visitors,Date
305,Siddipet,June,0,01-01-2024
306,Siddipet,July,0,01-01-2024
307,Siddipet,August,0,01-01-2024
308,Siddipet,September,0,01-01-2024
309,Siddipet,October,0,01-01-2024
310,Siddipet,November,0,01-01-2024
311,Siddipet,December,0,01-01-2024
312,Wanaparthy,January,0,01-01-2024
313,Wanaparthy,February,0,01-01-2024
314,Wanaparthy,March,0,01-01-2024
315,Wanaparthy,April,0,01-01-2024
316,Wanaparthy,May,0,01-01-2024
317,Wanaparthy,June,0,01-01-2024
318,Wanaparthy,July,0,01-01-2024
319,Wanaparthy,August,0,01-01-2024
320,Wanaparthy,September,0,01-01-2024
321,Wanaparthy,October,0,01-01-2024
322,Wanaparthy,November,0,01-01-2024
323,Wanaparthy,December,0,01-01-2024
324,Warangal (Rural),January,15,01-01-2024
325,Warangal (Rural),February,15,01-01-2024
326,Warangal (Rural),March,10,01-01-2024
327,Warangal (Rural),April,8,01-01-2024
328,Warangal (Rural),May,8,01-01-2024
329,Warangal (Rural),June,10,01-01-2024
330,Warangal (Rural),July,10,01-01-2024
331,Warangal (Rural),August,10,01-01-2024
332,Warangal (Rural),September,10,01-01-2024
333,Warangal (Rural),October,10,01-01-2024
334,Warangal (Rural),November,10,01-01-2024
335,Warangal (Rural),December,12,01-01-2024
336,Yadadri Bhongir,January,5,01-01-2024
337,Yadadri Bhongir,February,0,01-01-2024
338,Yadadri Bhongir,March,0,01-01-2024
339,Yadadri Bhongir,April,0,01-01-2024
340,Yadadri Bhongir,May,1,01-01-2024
341,Yadadri Bhongir,June,0,01-01-2024
342,Yadadri Bhongir,July,2,01-01-2024
343,Yadadri Bhongir,August,0,01-01-2024
344,Yadadri Bhongir,September,0,01-01-2024
345,Yadadri Bhongir,October,0,01-01-2024
346,Yadadri Bhongir,November,0,01-01-2024
347,Yadadri Bhongir,December,2,01-01-2024
